date,group,team_a,team_b,score_a,score_b,actual_result,predicted_result,prob_home_win,prob_draw,prob_away_win,rank_a,rank_b,rank_diff,form_a,form_b,correct,match,final_score,model_confidence,correct_int,abs_rank_diff,upset,actual_result_label,pred_result_label,rank_gap
11-Jun,A,Mexico,South Africa,2,0,home_win,home_win,57.2,26.9,15.9,15,59,-44,0.8,0.3,TRUE,Mexico vs South Africa,2 - 0,57.2,1,44,0,Home Win,Home Win,Large (31-60)
11-Jun,A,Korea Republic,Czechia,2,1,home_win,draw,34.8,38.7,26.5,22,34,-12,0.6,0.5,FALSE,Korea Republic vs Czechia,2 - 1,38.7,0,12,0,Home Win,Draw,Medium (11-20)
12-Jun,B,Canada,Bosnia and Herzegovina,1,1,draw,home_win,39.8,32.9,27.4,48,75,-27,0.3,0.2,FALSE,Canada vs Bosnia and Herzegovina,1 - 1,39.8,0,27,0,Draw,Home Win,Moderate (21-30)
12-Jun,B,Switzerland,Qatar,1,1,draw,away_win,30.8,34,35.2,19,35,-16,0.4,0.1,FALSE,Switzerland vs Qatar,1 - 1,34,0,16,0,Draw,Away Win,Medium (11-20)
12-Jun,D,USA,Paraguay,4,1,home_win,home_win,52.5,30.9,16.6,11,58,-47,0.6,0.4,TRUE,USA vs Paraguay,4 - 1,52.5,1,47,0,Home Win,Home Win,Large (31-60)
12-Jun,D,Australia,Türkiye,2,0,home_win,home_win,38,34.7,27.2,23,41,-18,0.5,0.7,TRUE,Australia vs Türkiye,2 - 0,38,1,18,0,Home Win,Home Win,Medium (11-20)
13-Jun,C,Brazil,Morocco,1,1,draw,away_win,25.4,37,37.6,4,12,-8,0.5,0.6,FALSE,Brazil vs Morocco,1 - 1,37,0,8,0,Draw,Away Win,Close (0-10)
13-Jun,C,Scotland,Haiti,1,0,home_win,home_win,56,29.5,14.5,39,86,-47,0.7,0.4,TRUE,Scotland vs Haiti,1 - 0,56,1,47,0,Home Win,Home Win,Large (31-60)
13-Jun,E,Germany,Curaçao,7,1,home_win,home_win,60.8,30.6,8.5,16,88,-72,1,0.4,TRUE,Germany vs Curaçao,7 - 1,60.8,1,72,0,Home Win,Home Win,Huge (60+
13-Jun,E,Côte d'Ivoire,Ecuador,1,0,home_win,draw,34.9,35.6,29.6,37,30,7,0.8,0.4,FALSE,Côte d'Ivoire vs Ecuador,1 - 0,35.6,0,7,0,Home Win,Draw,Close (0-10)
14-Jun,F,Netherlands,Japan,2,2,draw,draw,31.1,37.3,31.7,7,17,-10,0.6,0.6,TRUE,Netherlands vs Japan,2 - 2,37.3,1,10,0,Draw,Draw,Close (0-10)
14-Jun,F,Sweden,Tunisia,5,1,home_win,draw,35,37.7,27.3,28,41,-13,0.3,0.3,FALSE,Sweden vs Tunisia,5 - 1,37.7,0,13,0,Home Win,Draw,Medium (11-20)
14-Jun,G,Belgium,Egypt,1,1,draw,home_win,42.8,35.1,22.1,3,36,-33,0.6,0.4,FALSE,Belgium vs Egypt,1 - 1,42.8,0,33,0,Draw,Home Win,Large (31-60)
14-Jun,G,IR Iran,New Zealand,2,2,draw,home_win,72,20.1,8,20,107,-87,0.5,0.1,FALSE,IR Iran vs New Zealand,2 - 2,72,0,87,1,Draw,Home Win,Huge (60+
15-Jun,H,Spain,Cabo Verde,0,0,draw,home_win,50.7,32.5,16.8,8,65,-57,0.6,0.3,FALSE,Spain vs Cabo Verde,0 - 0,50.7,0,57,1,Draw,Home Win,Large (31-60)
15-Jun,H,Saudi Arabia,Uruguay,1,1,draw,away_win,17.7,32.4,49.8,56,14,42,0.3,0.4,FALSE,Saudi Arabia vs Uruguay,1 - 1,32.4,0,42,0,Draw,Away Win,Large (31-60)
15-Jun,I,France,Senegal,3,1,home_win,home_win,36.1,34.5,29.4,2,18,-16,0.8,0.6,TRUE,France vs Senegal,3 - 1,36.1,1,16,0,Home Win,Home Win,Medium (11-20)
15-Jun,I,Norway,Iraq,4,1,home_win,home_win,39.8,38,22.2,46,55,-9,0.6,0.5,TRUE,Norway vs Iraq,4 - 1,39.8,1,9,0,Home Win,Home Win,Close (0-10)
16-Jun,J,Argentina,Algeria,3,0,home_win,home_win,54,27.3,18.7,1,44,-43,0.9,0.7,TRUE,Argentina vs Algeria,3 - 0,54,1,43,0,Home Win,Home Win,Large (31-60)
16-Jun,J,Austria,Jordan,3,1,home_win,home_win,55.2,29.7,15.2,25,68,-43,0.8,0.4,TRUE,Austria vs Jordan,3 - 1,55.2,1,43,0,Home Win,Home Win,Large (31-60)
16-Jun,K,Portugal,Congo DR,1,1,draw,home_win,50.3,32.6,17.1,6,61,-55,0.6,0.4,FALSE,Portugal vs Congo DR,1 - 1,50.3,0,55,1,Draw,Home Win,Large (31-60)
16-Jun,K,Colombia,Uzbekistan,3,1,home_win,home_win,58.8,28.8,12.5,12,62,-50,0.7,0.3,TRUE,Colombia vs Uzbekistan,3 - 1,58.8,1,50,0,Home Win,Home Win,Large (31-60)
16-Jun,L,England,Croatia,4,2,home_win,home_win,36.6,32.8,30.5,5,9,-4,0.8,0.6,TRUE,England vs Croatia,4 - 2,36.6,1,4,0,Home Win,Home Win,Close (0-10)
16-Jun,L,Ghana,Panama,1,0,home_win,away_win,27.8,34,38.2,64,43,21,0.4,0.4,FALSE,Ghana vs Panama,1 - 0,34,0,21,0,Home Win,Away Win,Moderate (21-30)
17-Jun,A,Czechia,South Africa,1,1,draw,home_win,43,35,22,34,59,-25,0.5,0.3,FALSE,Czechia vs South Africa,1 - 1,43,0,25,0,Draw,Home Win,Moderate (21-30)
17-Jun,A,Mexico,Korea Republic,1,0,home_win,draw,34.2,36,29.7,15,22,-7,0.8,0.6,FALSE,Mexico vs Korea Republic,1 - 0,36,0,7,0,Home Win,Draw,Close (0-10)
18-Jun,B,Switzerland,Bosnia and Herzegovina,4,1,home_win,home_win,53.5,29.9,16.6,19,75,-56,0.4,0.2,TRUE,Switzerland vs Bosnia and Herzegovina,4 - 1,53.5,1,56,0,Home Win,Home Win,Large (31-60)
18-Jun,B,Canada,Qatar,6,0,home_win,away_win,28.2,25.9,45.9,48,35,13,0.3,0.1,FALSE,Canada vs Qatar,6 - 0,25.9,0,13,0,Home Win,Away Win,Medium (11-20)
18-Jun,D,USA,Australia,2,0,home_win,home_win,39.7,37.9,22.5,11,23,-12,0.6,0.5,TRUE,USA vs Australia,2 - 0,39.7,1,12,0,Home Win,Home Win,Medium (11-20)
18-Jun,D,Türkiye,Paraguay,0,1,away_win,home_win,43.4,34,22.7,41,58,-17,0.7,0.4,FALSE,Türkiye vs Paraguay,0 - 1,43.4,0,17,0,Away Win,Home Win,Medium (11-20)
19-Jun,C,Morocco,Scotland,1,0,home_win,home_win,41.2,32.4,26.4,12,39,-27,0.6,0.7,TRUE,Morocco vs Scotland,1 - 0,41.2,1,27,0,Home Win,Home Win,Moderate (21-30)
19-Jun,C,Brazil,Haiti,3,0,home_win,home_win,67.9,24.4,7.7,4,86,-82,0.5,0.4,TRUE,Brazil vs Haiti,3 - 0,67.9,1,82,0,Home Win,Home Win,Huge (60+
19-Jun,E,Germany,Côte d'Ivoire,2,1,home_win,draw,26,42.9,31.1,16,37,-21,1,0.8,FALSE,Germany vs Côte d'Ivoire,2 - 1,42.9,0,21,0,Home Win,Draw,Moderate (21-30)
19-Jun,E,Ecuador,Curaçao,0,0,draw,home_win,53.1,30.7,16.2,30,88,-58,0.4,0.4,FALSE,Ecuador vs Curaçao,0 - 0,53.1,0,58,1,Draw,Home Win,Large (31-60)
20-Jun,F,Netherlands,Sweden,5,1,home_win,home_win,39.5,34.9,25.6,7,28,-21,0.6,0.3,TRUE,Netherlands vs Sweden,5 - 1,39.5,1,21,0,Home Win,Home Win,Moderate (21-30)
20-Jun,F,Japan,Tunisia,4,0,home_win,home_win,45.9,34,20.2,17,41,-24,0.6,0.3,TRUE,Japan vs Tunisia,4 - 0,45.9,1,24,0,Home Win,Home Win,Moderate (21-30)
21-Jun,G,Belgium,IR Iran,0,0,draw,draw,36.5,37.5,25.9,3,20,-17,0.6,0.5,TRUE,Belgium vs IR Iran,0 - 0,37.5,1,17,0,Draw,Draw,Medium (11-20)
21-Jun,G,Egypt,New Zealand,3,1,home_win,home_win,66.4,21.6,12,36,107,-71,0.4,0.1,TRUE,Egypt vs New Zealand,3 - 1,66.4,1,71,0,Home Win,Home Win,Huge (60+
21-Jun,H,Spain,Saudi Arabia,4,0,home_win,home_win,55.7,29,15.3,8,56,-48,0.6,0.3,TRUE,Spain vs Saudi Arabia,4 - 0,55.7,1,48,0,Home Win,Home Win,Large (31-60)
21-Jun,H,Uruguay,Cabo Verde,2,2,draw,home_win,52.8,31.2,16,14,65,-51,0.4,0.3,FALSE,Uruguay vs Cabo Verde,2 - 2,52.8,0,51,1,Draw,Home Win,Large (31-60)
22-Jun,I,France,Iraq,3,0,home_win,home_win,56.7,29.5,13.8,2,55,-53,0.8,0.5,TRUE,France vs Iraq,3 - 0,56.7,1,53,0,Home Win,Home Win,Large (31-60)
22-Jun,I,Norway,Senegal,3,2,home_win,away_win,15.3,28.9,55.8,46,18,28,0.6,0.6,FALSE,Norway vs Senegal,3 - 2,28.9,0,28,0,Home Win,Away Win,Moderate (21-30)
22-Jun,J,Argentina,Austria,2,0,home_win,home_win,47.3,28.5,24.2,1,25,-24,0.9,0.8,TRUE,Argentina vs Austria,2 - 0,47.3,1,24,0,Home Win,Home Win,Moderate (21-30)
22-Jun,J,Algeria,Jordan,2,1,home_win,home_win,40.8,34.3,24.8,44,68,-24,0.7,0.4,TRUE,Algeria vs Jordan,2 - 1,40.8,1,24,0,Home Win,Home Win,Moderate (21-30)
23-Jun,K,Portugal,Uzbekistan,5,0,home_win,home_win,58.8,27.6,13.6,6,62,-56,0.6,0.3,TRUE,Portugal vs Uzbekistan,5 - 0,58.8,1,56,0,Home Win,Home Win,Large (31-60)
23-Jun,K,Colombia,Congo DR,1,0,home_win,home_win,57.1,27.6,15.3,12,61,-49,0.7,0.4,TRUE,Colombia vs Congo DR,1 - 0,57.1,1,49,0,Home Win,Home Win,Large (31-60)
23-Jun,L,England,Ghana,0,0,draw,home_win,50.5,33.1,16.5,5,64,-59,0.8,0.4,FALSE,England vs Ghana,0 - 0,50.5,0,59,1,Draw,Home Win,Large (31-60)
23-Jun,L,Croatia,Panama,1,0,home_win,home_win,49.5,32.7,17.9,9,43,-34,0.6,0.4,TRUE,Croatia vs Panama,1 - 0,49.5,1,34,0,Home Win,Home Win,Large (31-60)
24-Jun,A,South Africa,Korea Republic,1,0,home_win,away_win,17,28.9,54.1,59,22,37,0.3,0.6,FALSE,South Africa vs Korea Republic,1 - 0,28.9,0,37,0,Home Win,Away Win,Large (31-60)
24-Jun,A,Czechia,Mexico,0,3,away_win,away_win,18.7,27.8,53.4,34,15,19,0.5,0.8,TRUE,Czechia vs Mexico,0 - 3,27.8,1,19,0,Away Win,Away Win,Medium (11-20)
24-Jun,B,Switzerland,Canada,3,1,home_win,home_win,40.5,34.8,24.7,19,48,-29,0.4,0.3,TRUE,Switzerland vs Canada,3 - 1,40.5,1,29,0,Home Win,Home Win,Moderate (21-30)
24-Jun,B,Bosnia and Herzegovina,Qatar,3,1,home_win,away_win,15.5,25.9,58.6,75,35,40,0.2,0.1,FALSE,Bosnia and Herzegovina vs Qatar,3 - 1,25.9,0,40,0,Home Win,Away Win,Large (31-60)
24-Jun,C,Scotland,Brazil,0,3,away_win,away_win,17.4,31.9,50.7,39,4,35,0.7,0.5,TRUE,Scotland vs Brazil,0 - 3,31.9,1,35,0,Away Win,Away Win,Large (31-60)
24-Jun,C,Morocco,Haiti,4,2,home_win,home_win,66.4,24.3,9.3,12,86,-74,0.6,0.4,TRUE,Morocco vs Haiti,4 - 2,66.4,1,74,0,Home Win,Home Win,Huge (60+
25-Jun,D,Paraguay,Australia,0,0,draw,away_win,15.2,31.5,53.3,58,23,35,0.4,0.5,FALSE,Paraguay vs Australia,0 - 0,31.5,0,35,0,Draw,Away Win,Large (31-60)
25-Jun,D,USA,Türkiye,2,3,away_win,home_win,40,32.8,27.2,11,41,-30,0.6,0.7,FALSE,USA vs Türkiye,2 - 3,40,0,30,0,Away Win,Home Win,Moderate (21-30)
25-Jun,E,Côte d'Ivoire,Curaçao,2,0,home_win,home_win,59.7,27.6,12.8,37,88,-51,0.8,0.4,TRUE,Côte d'Ivoire vs Curaçao,2 - 0,59.7,1,51,0,Home Win,Home Win,Large (31-60)
25-Jun,E,Ecuador,Germany,2,1,home_win,away_win,10.2,24.4,65.4,30,16,14,0.4,1,FALSE,Ecuador vs Germany,2 - 1,24.4,0,14,0,Home Win,Away Win,Medium (11-20)
25-Jun,F,Tunisia,Netherlands,1,3,away_win,away_win,13.1,28.5,58.4,41,7,34,0.3,0.6,TRUE,Tunisia vs Netherlands,1 - 3,28.5,1,34,0,Away Win,Away Win,Large (31-60)
25-Jun,F,Japan,Sweden,1,1,draw,draw,29.4,38.9,31.7,17,28,-11,0.6,0.3,TRUE,Japan vs Sweden,1 - 1,38.9,1,11,0,Draw,Draw,Medium (11-20)
